"member_casual","date","hour","day_of_week","day","month","year","count"
"casual","2021-12-16",0,"Friday",16,12,2021,43
"casual","2021-12-16",1,"Friday",16,12,2021,12
"casual","2021-12-16",2,"Friday",16,12,2021,9
"casual","2021-12-16",3,"Friday",16,12,2021,15
"casual","2021-12-16",4,"Friday",16,12,2021,16
"casual","2021-12-16",5,"Friday",16,12,2021,17
"casual","2021-12-16",6,"Friday",16,12,2021,47
"casual","2021-12-16",7,"Friday",16,12,2021,100
"casual","2021-12-16",8,"Friday",16,12,2021,119
"casual","2021-12-16",9,"Friday",16,12,2021,93
"casual","2021-12-16",10,"Friday",16,12,2021,82
"casual","2021-12-16",11,"Friday",16,12,2021,109
"casual","2021-12-16",12,"Friday",16,12,2021,144
"casual","2021-12-16",13,"Friday",16,12,2021,148
"casual","2021-12-16",14,"Friday",16,12,2021,156
"casual","2021-12-16",15,"Friday",16,12,2021,206
"casual","2021-12-16",16,"Friday",16,12,2021,228
"casual","2021-12-16",17,"Friday",16,12,2021,244
"casual","2021-12-16",18,"Friday",16,12,2021,187
"casual","2021-12-16",19,"Friday",16,12,2021,128
"casual","2021-12-16",20,"Friday",16,12,2021,82
"casual","2021-12-16",21,"Friday",16,12,2021,77
"casual","2021-12-16",22,"Friday",16,12,2021,79
"casual","2021-12-16",23,"Friday",16,12,2021,68
"casual","2021-12-17",0,"Saturday",17,12,2021,31
"casual","2021-12-17",1,"Saturday",17,12,2021,19
"casual","2021-12-17",2,"Saturday",17,12,2021,15
"casual","2021-12-17",3,"Saturday",17,12,2021,10
"casual","2021-12-17",4,"Saturday",17,12,2021,12
"casual","2021-12-17",5,"Saturday",17,12,2021,16
"casual","2021-12-17",6,"Saturday",17,12,2021,28
"casual","2021-12-17",7,"Saturday",17,12,2021,76
"casual","2021-12-17",8,"Saturday",17,12,2021,104
"casual","2021-12-17",9,"Saturday",17,12,2021,87
"casual","2021-12-17",10,"Saturday",17,12,2021,109
"casual","2021-12-17",11,"Saturday",17,12,2021,141
"casual","2021-12-17",12,"Saturday",17,12,2021,206
"casual","2021-12-17",13,"Saturday",17,12,2021,169
"casual","2021-12-17",14,"Saturday",17,12,2021,191
"casual","2021-12-17",15,"Saturday",17,12,2021,208
"casual","2021-12-17",16,"Saturday",17,12,2021,222
"casual","2021-12-17",17,"Saturday",17,12,2021,228
"casual","2021-12-17",18,"Saturday",17,12,2021,187
"casual","2021-12-17",19,"Saturday",17,12,2021,133
"casual","2021-12-17",20,"Saturday",17,12,2021,73
"casual","2021-12-17",21,"Saturday",17,12,2021,67
"casual","2021-12-17",22,"Saturday",17,12,2021,105
"casual","2021-12-17",23,"Saturday",17,12,2021,88
"casual","2021-12-18",0,"Sunday",18,12,2021,62
"casual","2021-12-18",1,"Sunday",18,12,2021,57
"casual","2021-12-18",2,"Sunday",18,12,2021,38
"casual","2021-12-18",3,"Sunday",18,12,2021,18
"casual","2021-12-18",4,"Sunday",18,12,2021,17
"casual","2021-12-18",5,"Sunday",18,12,2021,16
"casual","2021-12-18",6,"Sunday",18,12,2021,24
"casual","2021-12-18",7,"Sunday",18,12,2021,21
"casual","2021-12-18",8,"Sunday",18,12,2021,38
"casual","2021-12-18",9,"Sunday",18,12,2021,60
"casual","2021-12-18",10,"Sunday",18,12,2021,107
"casual","2021-12-18",11,"Sunday",18,12,2021,122
"casual","2021-12-18",12,"Sunday",18,12,2021,139
"casual","2021-12-18",13,"Sunday",18,12,2021,171
"casual","2021-12-18",14,"Sunday",18,12,2021,169
"casual","2021-12-18",15,"Sunday",18,12,2021,170
"casual","2021-12-18",16,"Sunday",18,12,2021,166
"casual","2021-12-18",17,"Sunday",18,12,2021,139
"casual","2021-12-18",18,"Sunday",18,12,2021,119
"casual","2021-12-18",19,"Sunday",18,12,2021,85
"casual","2021-12-18",20,"Sunday",18,12,2021,80
"casual","2021-12-18",21,"Sunday",18,12,2021,70
"casual","2021-12-18",22,"Sunday",18,12,2021,83
"casual","2021-12-18",23,"Sunday",18,12,2021,61
"casual","2021-12-19",0,"Monday",19,12,2021,59
"casual","2021-12-19",1,"Monday",19,12,2021,48
"casual","2021-12-19",2,"Monday",19,12,2021,38
"casual","2021-12-19",3,"Monday",19,12,2021,30
"casual","2021-12-19",4,"Monday",19,12,2021,15
"casual","2021-12-19",5,"Monday",19,12,2021,17
"casual","2021-12-19",6,"Monday",19,12,2021,24
"casual","2021-12-19",7,"Monday",19,12,2021,24
"casual","2021-12-19",8,"Monday",19,12,2021,37
"casual","2021-12-19",9,"Monday",19,12,2021,90
"casual","2021-12-19",10,"Monday",19,12,2021,117
"casual","2021-12-19",11,"Monday",19,12,2021,162
